,CID,Name,Party,last_name,first_name,crp_web_format
151,N00043298,"Hyde-Smith, Cindy",R,Hyde-Smith,Cindy,Cindy-Hyde-Smith
152,N00005818,"Jackson Lee, Sheila",D,Jackson Lee,Sheila,Sheila-Jackson Lee
153,N00038858,"Jayapal, Pramila",D,Jayapal,Pramila,Pramila-Jayapal
154,N00033640,"Jeffries, Hakeem",D,Jeffries,Hakeem,Hakeem-Jeffries
155,N00032088,"Johnson, Bill",R,Johnson,Bill,Bill-Johnson
156,N00040559,"Johnson, Dusty",R,Johnson,Dusty,Dusty-Johnson
157,N00008122,"Johnson, Eddie Bernice",D,Johnson,Eddie,Eddie-Johnson
158,N00039106,"Johnson, Mike",R,Johnson,Mike,Mike-Johnson
159,N00024817,"Jones, Doug",D,Jones,Doug,Doug-Jones
160,N00027894,"Jordan, Jim",R,Jordan,Jim,Jim-Jordan
161,N00043242,"Joyce, John",R,Joyce,John,John-Joyce
162,N00033177,"Kaine, Tim",D,Kaine,Tim,Tim-Kaine
163,N00003522,"Kaptur, Marcy",D,Kaptur,Marcy,Marcy-Kaptur
164,N00035934,"Katko, John",R,Katko,John,John-Katko
165,N00031647,"Kelly, Mike",R,Kelly,Mike,Mike-Kelly
166,N00035215,"Kelly, Robin",D,Kelly,Robin,Robin-Kelly
167,N00037003,"Kelly, Trent",R,Kelly,Trent,Trent-Kelly
168,N00026427,"Khanna, Ro",D,Khanna,Ro,Ro-Khanna
169,N00034453,"Kilmer, Derek",D,Kilmer,Derek,Derek-Kilmer
170,N00041370,"Kim, Andy",D,Kim,Andy,Andy-Kim
171,N00004403,"Kind, Ron",D,Kind,Ron,Ron-Kind
172,N00001193,"King, Pete",R,King,Pete,Pete-King
173,N00030667,"Kinzinger, Adam",R,Kinzinger,Adam,Adam-Kinzinger
174,N00029260,"Kirkpatrick, Ann",D,Kirkpatrick,Ann,Ann-Kirkpatrick
175,N00027500,"Klobuchar, Amy",D,Klobuchar,Amy,Amy-Klobuchar
176,N00033240,"Krishnamoorthi, Raja",D,Krishnamoorthi,Raja,Raja-Krishnamoorthi
177,N00030875,"Kuster, Ann",D,Kuster,Ann,Ann-Kuster
178,N00025445,"Kustoff, David",R,Kustoff,David,David-Kustoff
179,N00033987,"LaMalfa, Doug",R,LaMalfa,Doug,Doug-LaMalfa
180,N00041870,"Lamb, Conor",D,Lamb,Conor,Conor-Lamb
181,N00009724,"Langevin, Jim",D,Langevin,Jim,Jim-Langevin
182,N00009759,"Larsen, Rick",D,Larsen,Rick,Rick-Larsen
183,N00034068,"Lawrence, Brenda",D,Lawrence,Brenda,Brenda-Lawrence
184,N00030642,"Lawson, Al",D,Lawson,Al,Al-Lawson
185,N00008046,"Lee, Barbara",D,Lee,Barbara,Barbara-Lee
186,N00037247,"Lee, Susie",D,Lee,Susie,Susie-Lee
187,N00042056,"Lesko, Debbie",R,Lesko,Debbie,Debbie-Lesko
188,N00042149,"Levin, Andy",D,Levin,Andy,Andy-Levin
189,N00040667,"Levin, Mike",D,Levin,Mike,Mike-Levin
190,N00002577,"Lewis, John",D,Lewis,John,John-Lewis
191,N00035825,"Lieu, Ted",D,Lieu,Ted,Ted-Lieu
192,N00027239,"Lipinski, Daniel",D,Lipinski,Daniel,Daniel-Lipinski
193,N00027741,"Loebsack, David",D,Loebsack,David,David-Loebsack
194,N00007479,"Lofgren, Zoe",D,Lofgren,Zoe,Zoe-Lofgren
195,N00030676,"Long, Billy",R,Long,Billy,Billy-Long
196,N00035347,"Loudermilk, Barry",R,Loudermilk,Barry,Barry-Loudermilk
197,N00033274,"Lowenthal, Alan",D,Lowenthal,Alan,Alan-Lowenthal
198,N00030026,"Luetkemeyer, Blaine",R,Luetkemeyer,Blaine,Blaine-Luetkemeyer
199,N00042293,"Luria, Elaine",D,Luria,Elaine,Elaine-Luria
200,N00041843,"Malinowski, Tom",D,Malinowski,Tom,Tom-Malinowski
201,N00034277,"Maloney, Sean Patrick",D,Maloney,Sean,Sean-Maloney
202,N00032838,"Manchin, Joe",D,Manchin,Joe,Joe-Manchin
203,N00026710,"Marchant, Kenny",R,Marchant,Kenny,Kenny-Marchant
204,N00037034,"Marshall, Roger",R,Marshall,Roger,Roger-Marshall
205,N00034041,"Massie, Thomas",R,Massie,Thomas,Thomas-Massie
206,N00037269,"Mast, Brian",R,Mast,Brian,Brian-Mast
207,N00042013,"McAdams, Ben",D,McAdams,Ben,Ben-McAdams
208,N00042813,"McBath, Lucy",D,McBath,Lucy,Lucy-McBath
209,N00028152,"McCarthy, Kevin",R,McCarthy,Kevin,Kevin-McCarthy
210,N00006863,"McClintock, Tom",R,McClintock,Tom,Tom-McClintock
211,N00012942,"McCollum, Betty",D,McCollum,Betty,Betty-McCollum
212,N00031681,"McKinley, David",R,McKinley,David,David-McKinley
213,N00026926,"McNerney, Jerry",D,McNerney,Jerry,Jerry-McNerney
214,N00033982,"McSally, Martha",R,McSally,Martha,Martha-McSally
215,N00000699,"Menendez, Robert",D,Menendez,Robert,Robert-Menendez
216,N00034547,"Meng, Grace",D,Meng,Grace,Grace-Meng
217,N00041542,"Miller, Carol",R,Miller,Carol,Carol-Miller
218,N00036274,"Mitchell, Paul",R,Mitchell,Paul,Paul-Mitchell
219,N00036275,"Moolenaar, John",R,Moolenaar,John,John-Moolenaar
220,N00033814,"Mooney, Alex",R,Mooney,Alex,Alex-Mooney
221,N00026914,"Moore, Gwen",D,Moore,Gwen,Gwen-Moore
222,N00035431,"Moulton, Seth",D,Moulton,Seth,Seth-Moulton
223,N00041561,"Mucarsel-Powell, Debbie",D,Mucarsel-Powell,Debbie,Debbie-Mucarsel-Powell
224,N00033410,"Mullin, Markwayne",R,Mullin,Markwayne,Markwayne-Mullin
225,N00040133,"Murphy, Stephanie",D,Murphy,Stephanie,Stephanie-Murphy
226,N00000939,"Nadler, Jerrold",D,Nadler,Jerrold,Jerrold-Nadler
227,N00006789,"Napolitano, Grace",D,Napolitano,Grace,Grace-Napolitano
228,N00036403,"Newhouse, Dan",R,Newhouse,Dan,Dan-Newhouse
229,N00027783,"Norman, Ralph",R,Norman,Ralph,Ralph-Norman
230,N00001692,"Norton, Eleanor Holmes",D,Norton,Eleanor,Eleanor-Norton
231,N00007248,"Nunes, Devin",R,Nunes,Devin,Devin-Nunes
232,N00037515,"O'Halleran, Tom",D,O'Halleran,Tom,Tom-O'Halleran
233,N00041162,"Ocasio-Cortez, Alexandria",D,Ocasio-Cortez,Alexandria,Alexandria-Ocasio-Cortez
234,N00029285,"Olson, Pete",R,Olson,Pete,Pete-Olson
235,N00043581,"Omar, Ilhan",D,Omar,Ilhan,Ilhan-Omar
236,N00031958,"Palazzo, Steven",R,Palazzo,Steven,Steven-Palazzo
237,N00035691,"Palmer, Gary",R,Palmer,Gary,Gary-Palmer
238,N00038601,"Panetta, Jimmy",D,Panetta,Jimmy,Jimmy-Panetta
239,N00042161,"Pappas, Chris",D,Pappas,Chris,Chris-Pappas
240,N00007360,"Pelosi, Nancy",D,Pelosi,Nancy,Nancy-Pelosi
241,N00041956,"Pence, Greg",R,Pence,Greg,Greg-Pence
242,N00027510,"Perlmutter, Ed",D,Perlmutter,Ed,Ed-Perlmutter
243,N00034120,"Perry, Scott",R,Perry,Scott,Scott-Perry
244,N00033591,"Peters, Scott",D,Peters,Scott,Scott-Peters
245,N00041134,"Phillips, Dean",D,Phillips,Dean,Dean-Phillips
246,N00013817,"Pingree, Chellie",D,Pingree,Chellie,Chellie-Pingree
247,N00035000,"Plaskett, Stacey",D,Plaskett,Stacey,Stacey-Plaskett
248,N00033549,"Pocan, Mark",D,Pocan,Mark,Mark-Pocan
249,N00040865,"Porter, Katie",D,Porter,Katie,Katie-Porter
250,N00029662,"Posey, Bill",R,Posey,Bill,Bill-Posey
251,N00042581,"Pressley, Ayanna",D,Pressley,Ayanna,Ayanna-Pressley
252,N00002260,"Price, David",D,Price,David,David-Price
253,N00030581,"Quigley, Mike",D,Quigley,Mike,Mike-Quigley
