Candidate,Amount
"Vela, Filemon (D-TX)","$13,000"
"Waters, Maxine (D-CA)","$13,000"
"Denham, Jeff (R-CA)","$12,750"
"Holding, George (R-NC)","$12,750"
"Maloney, Carolyn B (D-NY)","$12,500"
"Castor, Kathy (D-FL)","$12,000"
"Duncan, John J Jr (R-TN)","$12,000"
"Perry, Scott (R-PA)","$12,000"
"Woodall, Rob (R-GA)","$12,000"
"Cassidy, Bill (R-LA)","$11,850"
"McClintock, Tom (R-CA)","$11,745"
"Roybal-Allard, Lucille (D-CA)","$11,250"
"Frankel, Lois J (D-FL)","$11,100"
"Davis, Danny K (D-IL)","$11,000"
"Ross, Dennis (R-FL)","$11,000"
"Waxman, Henry (D-CA)","$11,000"
"Lynch, Stephen F (D-MA)","$10,750"
"Kirkpatrick, Ann (D-AZ)","$10,700"
"Norcross, Don (D-NJ)","$10,600"
"Rothfus, Keith J (R-PA)","$10,600"
"Brady, Robert A (D-PA)","$10,500"
"Garrett, Scott (R-NJ)","$10,500"
"McNerney, Jerry (D-CA)","$10,500"
"Messer, Luke (R-IN)","$10,500"
"Weber, Randy (R-TX)","$10,500"
"Jordan, Jim (R-OH)","$10,250"
"Latta, Robert E (R-OH)","$10,000"
"Sarbanes, John (D-MD)","$10,000"
"Takano, Mark (D-CA)","$9,850"
"Petri, Tom (R-WI)","$9,500"
"Pittenger, Robert (R-NC)","$9,500"
"Labrador, Raul (R-ID)","$9,250"
"Barr, Andy (R-KY)","$9,000"
"Beatty, Joyce (D-OH)","$9,000"
"Hinojosa, Ruben (D-TX)","$9,000"
"Matheson, Jim (D-UT)","$9,000"
"Mulvaney, Mick (R-SC)","$9,000"
"Stockman, Steve (R-TX)","$9,000"
"Grayson, Alan (D-FL)","$8,700"
"Capuano, Michael E (D-MA)","$8,500"
"Pingree, Chellie (D-ME)","$8,500"
"Gosar, Paul (R-AZ)","$8,250"
"Peterson, Collin (D-MN)","$8,000"
"Alexander, Rodney (R-LA)","$7,500"
"Bucshon, Larry (R-IN)","$7,500"
"Cardenas, Tony (D-CA)","$7,500"
"Green, Gene (D-TX)","$7,500"
"Titus, Dina (D-NV)","$7,500"
"Brown, Corrine (D-FL)","$7,000"
"Chu, Judy (D-CA)","$7,000"
"Deutch, Ted (D-FL)","$7,000"
"Garcia, Joe (D-FL)","$7,000"
"Maloney, Sean Patrick (D-NY)","$7,000"
"Sanford, Mark (R-SC)","$7,000"
"Walberg, Tim (R-MI)","$7,000"
"Adams, Alma (D-NC)","$6,500"
"Barletta, Lou (R-PA)","$6,250"
"DeGette, Diana (D-CO)","$6,000"
"Lummis, Cynthia (R-WY)","$6,000"
"McCarthy, Carolyn (D-NY)","$6,000"
"Pallone, Frank Jr (D-NJ)","$6,000"
"Serrano, Jose E (D-NY)","$6,000"
"Yarmuth, John A (D-KY)","$6,000"
"Meng, Grace (D-NY)","$5,750"
"Schrader, Kurt (D-OR)","$5,750"
"Farr, Sam (D-CA)","$5,500"
"Kelly, Robin (D-IL)","$5,500"
"Rangel, Charles B (D-NY)","$5,500"
"DeFazio, Peter (D-OR)","$5,000"
"Grimm, Michael (R-NY)","$5,000"
"Norton, Eleanor Holmes (D-DC)","$5,000"
"Schakowsky, Jan (D-IL)","$5,000"
"Webster, Daniel (R-FL)","$5,000"
"Esty, Elizabeth (D-CT)","$4,500"
"Miller, Gary (R-CA)","$4,500"
"Nadler, Jerrold (D-NY)","$4,500"
"Brat, Dave (R-VA)","$4,200"
"Buchanan, Vernon (R-FL)","$4,000"
"Costa, Jim (D-CA)","$4,000"
"Dingell, John D (D-MI)","$4,000"
"Gohmert, Louis B Jr (R-TX)","$4,000"
"Jackson Lee, Sheila (D-TX)","$4,000"
"LaMalfa, Doug (R-CA)","$4,000"
"Massie, Thomas (R-KY)","$4,000"
"Sensenbrenner, Jim (R-WI)","$4,000"
"Velazquez, Nydia M (D-NY)","$4,000"
"Wilson, Frederica (D-FL)","$4,000"
"Holt, Rush (D-NJ)","$3,950"
"Lee, Barbara (D-CA)","$3,500"
"Rohrabacher, Dana (R-CA)","$3,500"
"Sires, Albio (D-NJ)","$3,500"
"Rice, Tom (R-SC)","$3,250"
"Bentivolio, Kerry (R-MI)","$3,000"
"Blumenauer, Earl (D-OR)","$3,000"
"Campbell, John (R-CA)","$3,000"
"Doggett, Lloyd (D-TX)","$3,000"
"Farenthold, Blake (R-TX)","$3,000"
"Foxx, Virginia (R-NC)","$3,000"
"Jeffries, Hakeem (D-NY)","$3,000"
"Kildee, Dan (D-MI)","$3,000"
"Lance, Leonard (R-NJ)","$3,000"
"Bachmann, Michele (R-MN)","$2,550"
"Green, Al (D-TX)","$2,500"
"Meadows, Mark R (R-NC)","$2,500"
"Thompson, Glenn (R-PA)","$2,500"
"King, Steven A (R-IA)","$2,450"
"Davis, Rodney (R-IL)","$2,250"
"Coble, Howard (R-NC)","$2,000"
"Nolan, Rick (D-MN)","$2,000"
"Radel, Trey (R-FL)","$2,000"
"Smith, Chris (R-NJ)","$2,000"
"Gibbs, Bob (R-OH)","$1,500"
"Ellison, Keith (D-MN)","$1,250"
"Bachus, Spencer (R-AL)","$1,000"
"Broun, Paul (R-GA)","$1,000"
"Christian-Christensen, Donna (D-VI)","$1,000"
"Conyers, John Jr (D-MI)","$1,000"
"Desjarlais, Scott (R-TN)","$1,000"
"Hastings, Alcee L (D-FL)","$1,000"
"McDermott, Jim (D-WA)","$1,000"
"Michaud, Mike (D-ME)","$1,000"
"Miller, George (D-CA)","$1,000"
"O'Rourke, Beto (D-TX)","$1,000"
"Ribble, Reid (R-WI)","$1,000"
"Rush, Bobby L (D-IL)","$1,000"
"Schultz, Debbie Wasserman (D-FL)","$1,000"
"Walz, Tim (D-MN)","$1,000"
"Amash, Justin (R-MI)",$700
"Polis, Jared (D-CO)",$500
"Cohen, Steve (D-TN)",$250
"Grijalva, Raul M (D-AZ)","-$2,000"
