Candidate,Amount
"Franks, Trent (R-AZ)","$46,800"
"Thompson, Mike (D-CA)","$46,785"
"Wittman, Rob (R-VA)","$46,610"
"Bonamici, Suzanne (D-OR)","$46,162"
"Gowdy, Trey (R-SC)","$45,810"
"Buchanan, Vernon (R-FL)","$45,800"
"Dingell, Debbie (D-MI)","$45,664"
"Black, Diane (R-TN)","$45,000"
"Levin, Sander (D-MI)","$44,930"
"Joyce, David P (R-OH)","$44,920"
"Donovan, Dan (R-NY)","$44,700"
"Heck, Dennis (D-WA)","$44,450"
"Roby, Martha (R-AL)","$44,350"
"Cummings, Elijah E (D-MD)","$44,200"
"Quigley, Mike (D-IL)","$44,150"
"Nolan, Rick (D-MN)","$44,134"
"Carter, John (R-TX)","$44,016"
"Amodei, Mark (R-NV)","$43,985"
"Cuellar, Henry (D-TX)","$43,650"
"Beutler, Jaime Herrera (R-WA)","$43,250"
"Tsongas, Niki (D-MA)","$42,484"
"Rogers, Hal (R-KY)","$42,200"
"Williams, Roger (R-TX)","$41,600"
"Womack, Steve (R-AR)","$41,570"
"Granger, Kay (R-TX)","$41,150"
"Johnson, Sam (R-TX)","$41,033"
"Hill, French (R-AR)","$40,800"
"McKinley, David (R-WV)","$40,700"
"Rothfus, Keith J (R-PA)","$40,450"
"Rogers, Mike D (R-AL)","$40,400"
"Babin, Brian (R-TX)","$40,375"
"Lamborn, Douglas L (R-CO)","$40,300"
"Hastings, Alcee L (D-FL)","$40,250"
"Ellison, Keith (D-MN)","$40,136"
"Culberson, John (R-TX)","$39,850"
"Jolly, David (R-FL)","$39,306"
"Vargas, Juan (D-CA)","$39,300"
"Blum, Rod (R-IA)","$39,120"
"Rokita, Todd (R-IN)","$38,940"
"Young, Don (R-AK)","$38,800"
"Smith, Adrian (R-NE)","$38,340"
"Doggett, Lloyd (D-TX)","$38,175"
"Garrett, Scott (R-NJ)","$38,050"
"Speier, Jackie (D-CA)","$38,019"
"Gutierrez, Luis V (D-IL)","$38,000"
"Gallego, Ruben (D-AZ)","$37,685"
"Norcross, Don (D-NJ)","$37,450"
"Luetkemeyer, Blaine (R-MO)","$37,250"
"Ross, Dennis (R-FL)","$36,430"
"Garamendi, John (D-CA)","$36,420"
"Calvert, Ken (R-CA)","$36,000"
"Barletta, Lou (R-PA)","$35,950"
"King, Pete (R-NY)","$35,727"
"Israel, Steve (D-NY)","$35,475"
"Pittenger, Robert (R-NC)","$35,300"
"Lee, Barbara (D-CA)","$35,187"
"Rice, Tom (R-SC)","$35,050"
"King, Steven A (R-IA)","$34,740"
"Pearce, Steve (R-NM)","$34,700"
"Coleman, Bonnie (D-NJ)","$34,611"
"Frankel, Lois J (D-FL)","$34,010"
"Clay, William L Jr (D-MO)","$34,000"
"Schweikert, David (R-AZ)","$33,950"
"Gibbs, Bob (R-OH)","$33,600"
"Scott, Bobby (D-VA)","$33,500"
"Scott, David (D-GA)","$33,500"
"Bost, Mike (R-IL)","$33,350"
"Payne, Donald M Jr (D-NJ)","$33,250"
"Beatty, Joyce (D-OH)","$33,150"
"Perry, Scott (R-PA)","$33,150"
"Price, David (D-NC)","$33,050"
"Sires, Albio (D-NJ)","$33,000"
"Labrador, Raul (R-ID)","$32,615"
"Barr, Andy (R-KY)","$32,500"
"Adams, Alma (D-NC)","$32,192"
"Fleischmann, Chuck (R-TN)","$31,950"
"Wilson, Frederica (D-FL)","$31,700"
"Cook, Paul (R-CA)","$31,510"
"Johnson, Eddie Bernice (D-TX)","$31,500"
"Rouzer, David (R-NC)","$31,500"
"Pascrell, Bill Jr (D-NJ)","$31,425"
"Takai, Mark (D-HI)","$31,100"
"Walker, Mark (R-NC)","$31,100"
"McClintock, Tom (R-CA)","$31,075"
"Turner, Michael R (R-OH)","$30,880"
"LoBiondo, Frank (R-NJ)","$30,750"
"Cole, Tom (R-OK)","$30,150"
"O'Rourke, Beto (D-TX)","$30,100"
"Torres, Norma (D-CA)","$29,900"
"MacArthur, Thomas (R-NJ)","$29,700"
"Keating, Bill (D-MA)","$29,455"
"Ryan, Tim (D-OH)","$29,350"
"Walorski, Jackie (R-IN)","$29,250"
"Carter, Buddy (R-GA)","$28,950"
"Byrne, Bradley (R-AL)","$28,700"
"Schakowsky, Jan (D-IL)","$28,490"
"Roybal-Allard, Lucille (D-CA)","$28,150"
"Guinta, Frank (R-NH)","$28,050"
"Simpson, Mike (R-ID)","$27,950"
"McCollum, Betty (D-MN)","$27,750"
"Rooney, Tom (R-FL)","$27,625"
"Wenstrup, Brad (R-OH)","$27,540"
"Bridenstine, James (R-OK)","$27,000"
"Fudge, Marcia L (D-OH)","$27,000"
"Lowenthal, Alan (D-CA)","$26,825"
"Mooney, Alex (R-WV)","$26,700"
"Sanford, Mark (R-SC)","$26,500"
"Smith, Chris (R-NJ)","$26,300"
"Velazquez, Nydia M (D-NY)","$26,000"
"Loudermilk, Barry (R-GA)","$25,000"
"Davis, Susan (D-CA)","$24,960"
"Walz, Tim (D-MN)","$24,800"
"Woodall, Rob (R-GA)","$24,500"
"DeFazio, Peter (D-OR)","$24,419"
"Gohmert, Louis B Jr (R-TX)","$24,300"
"Allen, Richard W (R-GA)","$24,000"
"Fortenberry, Jeff (R-NE)","$24,000"
"Webster, Daniel (R-FL)","$23,675"
"Amash, Justin (R-MI)","$23,650"
"Whitfield, Ed (R-KY)","$23,500"
"Lawrence, Brenda (D-MI)","$23,450"
"Rohrabacher, Dana (R-CA)","$23,350"
"Newhouse, Dan (R-WA)","$23,250"
"Cartwright, Matt (D-PA)","$23,005"
"Hartzler, Vicky (R-MO)","$22,500"
"Napolitano, Grace (D-CA)","$21,800"
"Courtney, Joe (D-CT)","$21,750"
"Stutzman, Marlin (R-IN)","$21,725"
"Lucas, Frank D (R-OK)","$21,590"
"Carson, Andre (D-IN)","$21,350"
"Pingree, Chellie (D-ME)","$21,220"
"Thompson, Glenn (R-PA)","$21,200"
"Brooks, Mo (R-AL)","$20,500"
"Moolenaar, John (R-MI)","$20,450"
"Huizenga, Bill (R-MI)","$20,400"
"Pocan, Mark (D-WI)","$20,307"
"Massie, Thomas (R-KY)","$20,050"
"Capuano, Michael E (D-MA)","$19,950"
"Kline, John (R-MN)","$19,900"
"Salmon, Matt (R-AZ)","$19,710"
"Davis, Danny K (D-IL)","$19,000"
"Russell, Steven (R-OK)","$19,000"
"Yoho, Ted (R-FL)","$18,800"
"Kildee, Dan (D-MI)","$18,773"
"Visclosky, Pete (D-IN)","$18,650"
"Huffman, Jared (D-CA)","$18,631"
"Duncan, Jeff (R-SC)","$18,010"
"Wilson, Joe (R-SC)","$18,000"
"Cooper, Jim (D-TN)","$17,750"
"Brat, Dave (R-VA)","$17,673"
"McGovern, James P (D-MA)","$17,415"
"Sarbanes, John (D-MD)","$17,230"
"Hultgren, Randy (R-IL)","$17,035"
"Marchant, Kenny (R-TX)","$17,000"
"Ribble, Reid (R-WI)","$16,800"
"DeLauro, Rosa L (D-CT)","$16,649"
"Bishop, Rob (R-UT)","$16,390"
"Crawford, Rick (R-AR)","$16,250"
"Jackson Lee, Sheila (D-TX)","$16,000"
"Pitts, Joe (R-PA)","$16,000"
"Rigell, Scott (R-VA)","$16,000"
"Kelly, Trent (R-MS)","$15,850"
"Brown, Corrine (D-FL)","$15,750"
"Plaskett, Stacey (D-VI)","$14,846"
"Palmer, Gary (R-AL)","$14,550"
"Huelskamp, Tim (R-KS)","$14,450"
"Hice, Jody (R-GA)","$13,750"
"Waters, Maxine (D-CA)","$13,635"
"Peterson, Collin (D-MN)","$13,511"
"Grothman, Glenn S (R-WI)","$13,300"
"Moore, Gwen (D-WI)","$13,018"
"Jenkins, Evan (R-WV)","$13,000"
"Green, Al (D-TX)","$12,882"
"Lipinski, Daniel (D-IL)","$12,511"
"Meadows, Mark R (R-NC)","$12,500"
"Scott, Austin (R-GA)","$12,500"
"Desaulnier, Mark (D-CA)","$12,380"
"Hanabusa, Colleen (D-HI)","$12,100"
"Palazzo, Steven (R-MS)","$11,100"
"Abraham, Ralph (R-LA)","$11,000"
"Posey, Bill (R-FL)","$10,500"
"Lynch, Stephen F (D-MA)","$10,250"
"Westmoreland, Lynn A (R-GA)","$10,250"
"McDermott, Jim (D-WA)","$10,050"
"Fincher, Steve (R-TN)","$10,000"
"Hurt, Robert (R-VA)","$10,000"
"Kaptur, Marcy (D-OH)","$9,971"
"Gosar, Paul (R-AZ)","$9,500"
"Weber, Randy (R-TX)","$9,400"
"Grijalva, Raul M (D-AZ)","$9,304"
"Davidson, Warren (R-OH)","$8,996"
"Westerman, Bruce (R-AR)","$8,250"
"Miller, Jeff (R-FL)","$8,100"
"LaMalfa, Doug (R-CA)","$8,000"
"Desjarlais, Scott (R-TN)","$7,900"
"Benishek, Dan (R-MI)","$7,500"
"Higgins, Brian M (D-NY)","$7,500"
"Harris, Andy (R-MD)","$7,350"
"Jones, Walter B Jr (R-NC)","$6,300"
"Rangel, Charles B (D-NY)","$5,875"
"Hinojosa, Ruben (D-TX)","$5,700"
"Hanna, Richard (R-NY)","$5,500"
"Clawson, Curt (R-FL)","$5,250"
"Farr, Sam (D-CA)","$4,500"
"Norton, Eleanor Holmes (D-DC)","$4,500"
"Schock, Aaron (R-IL)","$4,500"
"Lummis, Cynthia (R-WY)","$3,700"
"Roe, Phil (R-TN)","$3,500"
"Duncan, John J Jr (R-TN)","$3,000"
"Neugebauer, Randy (R-TX)","$3,000"
"Bordallo, Madeleine Z (D-GU)","$2,500"
"Nugent, Richard (R-FL)","$2,500"
"Serrano, Jose E (D-NY)","$2,350"
"Fitzpatrick, Michael G (R-PA)","$2,000"
"Pierluisi, Pedro (D-PR)","$2,000"
"Carney, John (D-DE)","$1,000"
"Capps, Lois (D-CA)","-$1,000"
